Alpine Skiing: Downhill Men	Antoine Dénériaz	FRA	01:48.8	GOLD
Alpine Skiing: Downhill Men	Michael Walchhofer	AUT	01:49.5	SILVER
Alpine Skiing: Downhill Men	Bruno Kernen	SUI	01:49.8	BRONZE
Alpine Skiing: Slalom Men	Benjamin Raich	AUT	01:43.1	GOLD
Alpine Skiing: Slalom Men	Reinfried Herbst	AUT	01:44.0	SILVER
Alpine Skiing: Slalom Men	Rainer Schönfelder	AUT	01:44.2	BRONZE
Alpine Skiing: Giant Slalom Men	Benjamin Raich	AUT	02:35.0	GOLD
Alpine Skiing: Giant Slalom Men	Joël Chenal	FRA	02:35.1	SILVER
Alpine Skiing: Giant Slalom Men	Hermann Maier	AUT	02:35.2	BRONZE
Alpine Skiing: Super Giant Slalom Men	Kjetil André Aamodt	NOR	01:30.6	GOLD
Alpine Skiing: Super Giant Slalom Men	Hermann Maier	AUT	01:30.8	SILVER
Alpine Skiing: Super Giant Slalom Men	Ambrosi Hoffmann	SUI	01:31.0	BRONZE
Alpine Skiing: Alpine Combined Men	Ted Ligety	USA	03:09.3	GOLD
Alpine Skiing: Alpine Combined Men	Ivica Kostelic	CRO	03:09.9	SILVER
Alpine Skiing: Alpine Combined Men	Rainer Schönfelder	AUT	03:10.7	BRONZE
Alpine Skiing: Moguls Men	Dale Begg-Smith	AUS	26.77	GOLD
Alpine Skiing: Moguls Men	Mikko Ronkainen	FIN	26.62	SILVER
Alpine Skiing: Moguls Men	Toby Dawson	USA	26.3	BRONZE
Alpine Skiing: Freestyle Ski Jump (Aerials) Men	Han Xiaopeng	CHN	250.77	GOLD
Alpine Skiing: Freestyle Ski Jump (Aerials) Men	Dmitri Dashchinsky	BLR	248.68	SILVER
Alpine Skiing: Freestyle Ski Jump (Aerials) Men	Vladimir Lebedev	RUS	246.76	BRONZE
Alpine Skiing: Downhill Women	Michaela Dorfmeister	AUT	01:56.5	GOLD
Alpine Skiing: Downhill Women	Martina Schild	SUI	01:56.9	SILVER
Alpine Skiing: Downhill Women	Anja Pärson	SWE	01:57.1	BRONZE
Alpine Skiing: Slalom Women	Anja Pärson	SWE	01:29.0	GOLD
Alpine Skiing: Slalom Women	Nicole Hosp	AUT	01:29.3	SILVER
Alpine Skiing: Slalom Women	Marlies Schild	AUT	01:29.8	BRONZE
Alpine Skiing: Giant Slalom Women	Julia Mancuso	USA	02:09.2	GOLD
Alpine Skiing: Giant Slalom Women	Tanja Poutiainen	FIN	02:09.9	SILVER
Alpine Skiing: Giant Slalom Women	Anna Ottosson	SWE	02:10.3	BRONZE
Alpine Skiing: Super Giant Slalom Women	Michaela Dorfmeister	AUT	01:32.5	GOLD
Alpine Skiing: Super Giant Slalom Women	Janica Kostelic	CRO	01:32.7	SILVER
Alpine Skiing: Super Giant Slalom Women	Alexandra Meißnitzer	AUT	01:33.1	BRONZE
Alpine Skiing: Alpine Combined Women	Janica Kostelic	CRO	0:02:51	GOLD
Alpine Skiing: Alpine Combined Women	Marlies Schild	AUT	02:51.6	SILVER
Alpine Skiing: Alpine Combined Women	Anja Pärson	SWE	02:51.6	BRONZE
Alpine Skiing: Moguls Women	Jennifer Heil	CAN	26.5	GOLD
Alpine Skiing: Moguls Women	Kari Trå	NOR	25.65	SILVER
Alpine Skiing: Moguls Women	Sandra Laoura	FRA	25.37	BRONZE
Alpine Skiing: Freestyle Ski Jump (Aerials) Women	Evelyne Leu	SUI	202.55	GOLD
Alpine Skiing: Freestyle Ski Jump (Aerials) Women	Nina Li	CHN	197.39	SILVER
Alpine Skiing: Freestyle Ski Jump (Aerials) Women	Alisa Camplin	AUS	191.39	BRONZE
Alpine Skiing: Snowboard Giant Slalom Men	Philipp Schoch	SUI		GOLD
Alpine Skiing: Snowboard Giant Slalom Men	Simon Schoch	SUI		SILVER
Alpine Skiing: Snowboard Giant Slalom Men	Siegfried Grabner	AUT		BRONZE
Alpine Skiing: Snowboard Giant Slalom Women	Daniela Meuli	SUI		GOLD
Alpine Skiing: Snowboard Giant Slalom Women	Amelie Kober	GER		SILVER
Alpine Skiing: Snowboard Giant Slalom Women	Rosey Fletcher	USA		BRONZE
Alpine Skiing: Snowboard Halfpipe Men	Shaun White	USA	46.8	GOLD
Alpine Skiing: Snowboard Halfpipe Men	Danny Kass	USA	44	SILVER
Alpine Skiing: Snowboard Halfpipe Men	Markku Koski	FIN	41.5	BRONZE
Alpine Skiing: Snowboard Halfpipe Women	Hannah Teter	USA	46.4	GOLD
Alpine Skiing: Snowboard Halfpipe Women	Gretchen Bleiler	USA	43.4	SILVER
Alpine Skiing: Snowboard Halfpipe Women	Kjersti Buaas	NOR	42	BRONZE
Alpine Skiing: Snowboard Cross Men	Seth Wescott	USA		GOLD
Alpine Skiing: Snowboard Cross Men	Radoslav Zidek	SVK		SILVER
Alpine Skiing: Snowboard Cross Men	Paul-Henri Delerue	FRA		BRONZE
Alpine Skiing: Snowboard Cross Women	Tanja Frieden	SUI		GOLD
Alpine Skiing: Snowboard Cross Women	Lindsey Jacobellis	USA		SILVER
Alpine Skiing: Snowboard Cross Women	Dominique Maltais	CAN		BRONZE
Biathlon: 10km Sprint Men	Sven Fischer	GER	26:11.6	GOLD
Biathlon: 10km Sprint Men	Halvard Hanevold	NOR	26:19.8	SILVER
Biathlon: 10km Sprint Men	Frode Andresen	NOR	26:31.3	BRONZE
Biathlon: 20km Individual Men	Michael Greis	GER	54:23.0	GOLD
Biathlon: 20km Individual Men	Ole Einar Bjørndalen	NOR	54:39.0	SILVER
Biathlon: 20km Individual Men	Halvard Hanevold	NOR	55:31.9	BRONZE
Biathlon: 4x7.5km Relay Men	Michael Greis	GER	21:52.0	GOLD
Biathlon: 4x7.5km Relay Men	Sven Fischer	GER	21:52.0	GOLD
Biathlon: 4x7.5km Relay Men	Michael Rösch	GER	21:52.0	GOLD
Biathlon: 4x7.5km Relay Men	Ricco Groß	GER	21:52.0	GOLD
Biathlon: 4x7.5km Relay Men	Pavel Rostovtsev	RUS	22:12.4	SILVER
Biathlon: 4x7.5km Relay Men	Ivan Tcherezov	RUS	22:12.4	SILVER
Biathlon: 4x7.5km Relay Men	Nikolay Kruglov	RUS	22:12.4	SILVER
Biathlon: 4x7.5km Relay Men	Sergey Chepikov	RUS	22:12.4	SILVER
Biathlon: 4x7.5km Relay Men	Vincent Defrasne	FRA	22:35.1	BRONZE
Biathlon: 4x7.5km Relay Men	Ferreol Cannard	FRA	22:35.1	BRONZE
Biathlon: 4x7.5km Relay Men	Raphael Poiree	FRA	22:35.1	BRONZE
Biathlon: 4x7.5km Relay Men	Julien Robert	FRA	22:35.1	BRONZE
Biathlon: 12.5km Pursuit Men	Vincent Defrasne	FRA	35:20.2	GOLD
Biathlon: 12.5km Pursuit Men	Ole Einar Bjørndalen	NOR	35:22.9	SILVER
Biathlon: 12.5km Pursuit Men	Sven Fischer	GER	35:35.8	BRONZE
Biathlon: 15km Mass Start Men	Michael Greis	GER	47:20.0	GOLD
Biathlon: 15km Mass Start Men	Tomasz Sikora	POL	47:26.3	SILVER
Biathlon: 15km Mass Start Men	Ole Einar Bjørndalen	NOR	47:32.3	BRONZE
Biathlon: 7.5km Sprint Women	Florence Baverel-Robert	FRA	22:31.4	GOLD
Biathlon: 7.5km Sprint Women	Anna Carin Olofsson	SWE	22:33.8	SILVER
Biathlon: 7.5km Sprint Women	Lilia Efremova	UKR	22:38.0	BRONZE
Biathlon: 15km Individual Women	Svetlana Ishmouratova	RUS	49:24.1	GOLD
Biathlon: 15km Individual Women	Martina Glagow	GER	50:34.9	SILVER
Biathlon: 15km Individual Women	Albina Akhatova	RUS	50:55.0	BRONZE
Biathlon: 4x6km Relay Women	Anna Bogaliy-Titovets	RUS	16:12.5	GOLD
Biathlon: 4x6km Relay Women	Albina Akhatova	RUS	16:12.5	GOLD
Biathlon: 4x6km Relay Women	Svetlana Ishmouratova	RUS	16:12.5	GOLD
Biathlon: 4x6km Relay Women	Olga Zaitseva	RUS	16:12.5	GOLD
Biathlon: 4x6km Relay Women	Kati Wilhelm	GER	17:03.2	SILVER
Biathlon: 4x6km Relay Women	Andrea Henkel	GER	17:03.2	SILVER
Biathlon: 4x6km Relay Women	Martina Glagow	GER	17:03.2	SILVER
Biathlon: 4x6km Relay Women	Katrin Apel	GER	17:03.2	SILVER
Biathlon: 4x6km Relay Women	Sandrine Bailly	FRA		BRONZE
Biathlon: 4x6km Relay Women	Florence Baverel-Robert	FRA		BRONZE
Biathlon: 4x6km Relay Women	Sylvie Becaert	FRA		BRONZE
Biathlon: 4x6km Relay Women	Delphyne Peretto	FRA	18:38.7	BRONZE
Biathlon: 10km Pursuit Women	Kati Wilhelm	GER	36:43.6	GOLD
Biathlon: 10km Pursuit Women	Martina Glagow	GER	37:57.2	SILVER
Biathlon: 10km Pursuit Women	Albina Akhatova	RUS	38:05.0	BRONZE
Biathlon: 12.5km Mass Start Women	Anna Carin Olofsson	SWE	40:36.5	GOLD
Biathlon: 12.5km Mass Start Women	Kati Wilhelm	GER	40:55.3	SILVER
Biathlon: 12.5km Mass Start Women	Uschi Disl	GER	41:18.4	BRONZE
Bobsleigh: Four-Man Bobsled	Rene Hoppe	GER	03:40.4	GOLD
Bobsleigh: Four-Man Bobsled	Kevin Kuske	GER	03:40.4	GOLD
Bobsleigh: Four-Man Bobsled	Andre Lange	GER	03:40.4	GOLD
Bobsleigh: Four-Man Bobsled	Martin Putze	GER	03:40.4	GOLD
Bobsleigh: Four-Man Bobsled	Filipp Egorov	RUS	03:40.5	SILVER
Bobsleigh: Four-Man Bobsled	Alexei Seliverstov	RUS	03:40.5	SILVER
Bobsleigh: Four-Man Bobsled	Alexey Voevoda	RUS	03:40.5	SILVER
Bobsleigh: Four-Man Bobsled	Alexandre Zoubkov	RUS	03:40.5	SILVER
Bobsleigh: Four-Man Bobsled	Martin Annen	SUI	03:40.8	BRONZE
Bobsleigh: Four-Man Bobsled	Cedric Grand	SUI	03:40.8	BRONZE
Bobsleigh: Four-Man Bobsled	Beat Hefti	SUI	03:40.8	BRONZE
Bobsleigh: Four-Man Bobsled	Thomas Lamparter	SUI	03:40.8	BRONZE
Bobsleigh: 2-Man Bobsled	Andre Lange	GER	03:43.4	GOLD
Bobsleigh: 2-Man Bobsled	Kevin Kuske	GER	03:43.4	GOLD
Bobsleigh: 2-Man Bobsled	Pierre Fritz Lueders	CAN	03:43.6	SILVER
Bobsleigh: 2-Man Bobsled	Lascelles Brown	CAN	03:43.6	SILVER
Bobsleigh: 2-Man Bobsled	Martin Annen	SUI	03:43.7	BRONZE
Bobsleigh: 2-Man Bobsled	Beat Hefti	SUI	03:43.7	BRONZE
Bobsleigh: 2-Woman Bobsled	Sandra Prokoff	GER	03:50.0	GOLD
Bobsleigh: 2-Woman Bobsled	Anja Schneiderheinze-Stockel	GER	03:50.0	GOLD
Bobsleigh: 2-Woman Bobsled	Shauna Rohbock	USA	03:50.7	SILVER
Bobsleigh: 2-Woman Bobsled	Valerie Fleming	USA	03:50.7	SILVER
Bobsleigh: 2-Woman Bobsled	Jennifer Isacco	ITA	03:51.0	BRONZE
Bobsleigh: 2-Woman Bobsled	Gerda Weissensteiner	ITA	03:51.0	BRONZE
Curling: Curling Men	Mike Adam	CAN		GOLD
Curling: Curling Men	Brad Gushue	CAN		GOLD
Curling: Curling Men	Russ Howard	CAN		GOLD
Curling: Curling Men	Jamie Korab	CAN		GOLD
Curling: Curling Men	Mark Nichols	CAN		GOLD
Curling: Curling Men	Teemu Salo	FIN		SILVER
Curling: Curling Men	Jani Sullanmaa	FIN		SILVER
Curling: Curling Men	Markku Uusipaavalniemi	FIN		SILVER
Curling: Curling Men	Kalle Kiiskinen	FIN		SILVER
Curling: Curling Men	Wille Mäkelä	FIN		SILVER
Curling: Curling Men	Scott Baird	USA		BRONZE
Curling: Curling Men	Pete Fenson	USA		BRONZE
Curling: Curling Men	John Shuster	USA		BRONZE
Curling: Curling Men	Joe Polo	USA		BRONZE
Curling: Curling Men	Shawn Rojeski	USA		BRONZE
Curling: Curling Women	Anette Norberg	SWE		GOLD
Curling: Curling Women	Anna Svärd	SWE		GOLD
Curling: Curling Women	Ulrika Bergman	SWE		GOLD
Curling: Curling Women	Cathrine Lindahl	SWE		GOLD
Curling: Curling Women	Eva Lund	SWE		GOLD
Curling: Curling Women	Michele Moser	SUI		SILVER
Curling: Curling Women	Manuela Kormann	SUI		SILVER
Curling: Curling Women	Binia Feltscher-Beeli	SUI		SILVER
Curling: Curling Women	Mirjam Ott	SUI		SILVER
Curling: Curling Women	Valeria Spälty	SUI		SILVER
Curling: Curling Women	Amy Nixon	CAN		BRONZE
Curling: Curling Women	Glenys Bakker	CAN		BRONZE
Curling: Curling Women	Sandra Jenkins	CAN		BRONZE
Curling: Curling Women	Christine Keshen	CAN		BRONZE
Curling: Curling Women	Shannon Kleibrink	CAN		BRONZE
Figure Skating: Men	Evgeni Plushenko	RUS	258.33	GOLD
Figure Skating: Men	Stéphane Lambiel	SUI	231.21	SILVER
Figure Skating: Men	Jeffrey Buttle	CAN	227.59	BRONZE
Figure Skating: Women	Shizuka Arakawa	JPN	191.34	GOLD
Figure Skating: Women	Sasha Cohen	USA	183.36	SILVER
Figure Skating: Women	Irina Slutskaya	RUS	181.44	BRONZE
Figure Skating: Pairs	Tatiana Totmianina	RUS	204.48	GOLD
Figure Skating: Pairs	Maxim Marinin	RUS	204.48	GOLD
Figure Skating: Pairs	Zhang Dan	CHN	189.73	SILVER
Figure Skating: Pairs	Zhang Hao	CHN	189.73	SILVER
Figure Skating: Pairs	Xue Shen	CHN	186.91	BRONZE
Figure Skating: Pairs	Hongbo Zhao	CHN	186.91	BRONZE
Figure Skating: Ice Dancing	Tatiana Navka	RUS	200.64	GOLD
Figure Skating: Ice Dancing	Roman Kostomarov	RUS	200.64	GOLD
Figure Skating: Ice Dancing	Tanith Belbin	USA	196.06	SILVER
Figure Skating: Ice Dancing	Benjamin Agosto	USA	196.06	SILVER
Figure Skating: Ice Dancing	Ruslan Goncharov	UKR	195.85	BRONZE
Figure Skating: Ice Dancing	Elena Grushina	UKR	195.85	BRONZE
Ice Hockey: Ice Hockey Men	Daniel Alfredsson	SWE		GOLD
Ice Hockey: Ice Hockey Men	Per Johan Axelsson	SWE		GOLD
Ice Hockey: Ice Hockey Men	Christian Bäckman	SWE		GOLD
Ice Hockey: Ice Hockey Men	Peter Forsberg	SWE		GOLD
Ice Hockey: Ice Hockey Men	Mika Hannula	SWE		GOLD
Ice Hockey: Ice Hockey Men	Niclas Hävelid	SWE		GOLD
Ice Hockey: Ice Hockey Men	Tomas Holmström	SWE		GOLD
Ice Hockey: Ice Hockey Men	Jörgen Jönsson	SWE		GOLD
Ice Hockey: Ice Hockey Men	Kenny Jönsson	SWE		GOLD
Ice Hockey: Ice Hockey Men	Niklas Kronwall	SWE		GOLD
Ice Hockey: Ice Hockey Men	Nicklas Lidström	SWE		GOLD
Ice Hockey: Ice Hockey Men	Stefan Liv	SWE		GOLD
Ice Hockey: Ice Hockey Men	Henrik Lundqvist	SWE		GOLD
Ice Hockey: Ice Hockey Men	Fredrik Modin	SWE		GOLD
Ice Hockey: Ice Hockey Men	Mattias Öhlund	SWE		GOLD
Ice Hockey: Ice Hockey Men	Samuel Påhlsson	SWE		GOLD
Ice Hockey: Ice Hockey Men	Mikael Samuelsson	SWE		GOLD
Ice Hockey: Ice Hockey Men	Daniel Sedin	SWE		GOLD
Ice Hockey: Ice Hockey Men	Henrik Sedin	SWE		GOLD
Ice Hockey: Ice Hockey Men	Mats Sundin	SWE		GOLD
Ice Hockey: Ice Hockey Men	Ronnie Sundin	SWE		GOLD
Ice Hockey: Ice Hockey Men	Mikael Tellqvist	SWE		GOLD
Ice Hockey: Ice Hockey Men	Daniel Tjärnqvist	SWE		GOLD
Ice Hockey: Ice Hockey Men	Henrik Zetterberg	SWE		GOLD
Ice Hockey: Ice Hockey Men	Kimmo Timonen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Jarkko Ruutu	FIN		SILVER
Ice Hockey: Ice Hockey Men	Sami Salo	FIN		SILVER
Ice Hockey: Ice Hockey Men	Jere Lehtinen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Ville Peltonen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Antti-Jussi Niemi	FIN		SILVER
Ice Hockey: Ice Hockey Men	Ville Nieminen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Antero Niittymäki	FIN		SILVER
Ice Hockey: Ice Hockey Men	Fredrik Norrena	FIN		SILVER
Ice Hockey: Ice Hockey Men	Petteri Nummelin	FIN		SILVER
Ice Hockey: Ice Hockey Men	Teppo Numminen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Toni Lydman	FIN		SILVER
Ice Hockey: Ice Hockey Men	Lasse Kukkonen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Antti Laaksonen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Niko Kapanen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Mikko Koivu	FIN		SILVER
Ice Hockey: Ice Hockey Men	Saku Koivu	FIN		SILVER
Ice Hockey: Ice Hockey Men	Jukka Hentunen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Jussi Jokinen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Olli Jokinen	FIN		SILVER
Ice Hockey: Ice Hockey Men	Niklas Hagman	FIN		SILVER
Ice Hockey: Ice Hockey Men	Niklas Backstrom	FIN		SILVER
Ice Hockey: Ice Hockey Men	Aki-Petteri Berg	FIN		SILVER
Ice Hockey: Ice Hockey Men	Petr Cajanek	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Jan Bulis	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Dominik Hasek	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Milan Hejduk	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Ales Hemsky	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Patrik Elias	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Martin Erat	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Jaromir Jagr	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Milan Hnilicka	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Frantisek Kaberle	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Tomas Kaberle	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Ales Kotalik	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Filip Kuba	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Pavel Kubina	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Robert Lang	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Marek Malik	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Rostislav Olesz	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Vaclav Prospal	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Martin Rucinsky	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Dusan Salficky	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Marek Zidlicky	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Tomas Vokoun	CZR		BRONZE
Ice Hockey: Ice Hockey Men	David Vyborny	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Jaroslav Spacek	CZR		BRONZE
Ice Hockey: Ice Hockey Men	Martin Straka	CZR		BRONZE
Ice Hockey: Ice Hockey Women	Colleen Sostorics	CAN		GOLD
Ice Hockey: Ice Hockey Women	Vicky Sunohara	CAN		GOLD
Ice Hockey: Ice Hockey Women	Sarah Vaillancourt	CAN		GOLD
Ice Hockey: Ice Hockey Women	Katie Weatherston	CAN		GOLD
Ice Hockey: Ice Hockey Women	Hayley Wickenheiser	CAN		GOLD
Ice Hockey: Ice Hockey Women	Kim Saint Pierre	CAN		GOLD
Ice Hockey: Ice Hockey Women	Cheryl Pounder	CAN		GOLD
Ice Hockey: Ice Hockey Women	Caroline Ouellette	CAN		GOLD
Ice Hockey: Ice Hockey Women	Cherie Piper	CAN		GOLD
Ice Hockey: Ice Hockey Women	Gina Kingsbury	CAN		GOLD
Ice Hockey: Ice Hockey Women	Carla MacLeod	CAN		GOLD
Ice Hockey: Ice Hockey Women	Charline Labonte	CAN		GOLD
Ice Hockey: Ice Hockey Women	Becky Kellar	CAN		GOLD
Ice Hockey: Ice Hockey Women	Gillian Ferrari	CAN		GOLD
Ice Hockey: Ice Hockey Women	Danielle Goyette	CAN		GOLD
Ice Hockey: Ice Hockey Women	Jayna Hefford	CAN		GOLD
Ice Hockey: Ice Hockey Women	Meghan Agosta	CAN		GOLD
Ice Hockey: Ice Hockey Women	Cassie Campbell	CAN		GOLD
Ice Hockey: Ice Hockey Women	Jennifer Botterill	CAN		GOLD
Ice Hockey: Ice Hockey Women	Gillian Apps	CAN		GOLD
Ice Hockey: Ice Hockey Women	Jenni Asserholt	SWE		SILVER
Ice Hockey: Ice Hockey Women	Cecilia Andersson	SWE		SILVER
Ice Hockey: Ice Hockey Women	Gunilla Andersson	SWE		SILVER
Ice Hockey: Ice Hockey Women	Ann-Louise Edstrand	SWE		SILVER
Ice Hockey: Ice Hockey Women	Joa Elfsberg	SWE		SILVER
Ice Hockey: Ice Hockey Women	Emma Eliasson	SWE		SILVER
Ice Hockey: Ice Hockey Women	Erika Holst	SWE		SILVER
Ice Hockey: Ice Hockey Women	Nanna Jansson	SWE		SILVER
Ice Hockey: Ice Hockey Women	Kristina Lundberg	SWE		SILVER
Ice Hockey: Ice Hockey Women	Ylva Lindberg	SWE		SILVER
Ice Hockey: Ice Hockey Women	Jenny Lindqvist	SWE		SILVER
